Country,CPI,CPI Change (%),Currency-Code,Gasoline Price,Minimum wage,Tax revenue (%),Total tax rate,Unemployment rate,
Laos,135.87,3.30%,LAK,$0.93 ,$0.83 ,12.90%,24.10%,0.63%,
Latvia,116.86,2.80%,EUR,$1.16 ,$2.80 ,22.90%,38.10%,6.52%,
Lebanon,130.02,3.00%,LBP,$0.74 ,$2.15 ,15.30%,32.20%,6.23%,
Lesotho,155.86,5.20%,,$0.70 ,$0.41 ,31.60%,13.60%,23.41%,
Liberia,223.13,23.60%,,$0.80 ,$0.17 ,12.90%,46.20%,2.81%,
Libya,125.71,2.60%,LYD,$0.11 ,$1.88 ,,32.60%,18.56%,
Liechtenstein,,,CHF,$1.74 ,,,21.60%,,
Lithuania,118.38,2.30%,EUR,$1.16 ,$2.41 ,16.90%,42.60%,6.35%,
Luxembourg,115.09,1.70%,EUR,$1.19 ,$13.05 ,26.50%,20.40%,5.36%,
Madagascar,184.33,5.60%,MGA,$1.11 ,$0.21 ,10.20%,38.30%,1.76%,
Malawi,418.34,9.40%,MWK,$1.15 ,$0.12 ,17.30%,34.50%,5.65%,
Malaysia,121.46,0.70%,MYR,$0.45 ,$0.93 ,12.00%,38.70%,3.32%,
Maldives,99.7,0.20%,,$1.63 ,,19.50%,30.20%,6.14%,
Mali,108.73,-1.70%,XOF,$1.12 ,$0.23 ,11.60%,54.50%,7.22%,
Malta,113.45,1.60%,EUR,$1.36 ,$5.07 ,26.20%,44.00%,3.47%,
Marshall Islands,,,USD,$1.44 ,$2.00 ,17.80%,65.90%,,
Mauritania,135.02,2.30%,MRU,$1.13 ,$0.53 ,,67.00%,9.55%,
Mauritius,129.91,0.40%,MUR,$1.12 ,$0.38 ,19.10%,22.20%,6.67%,
Mexico,141.54,3.60%,MXN,$0.73 ,$0.49 ,13.10%,55.10%,3.42%,
Federated States of Micronesia,112.1,0.50%,USD,,,25.20%,60.50%,,
Moldova,166.2,4.80%,MDL,$0.80 ,$0.31 ,17.70%,38.70%,5.47%,
Monaco,,,EUR,$2.00 ,$11.72 ,,,,
Mongolia,195.76,7.30%,MNT,$0.72 ,$0.65 ,16.80%,25.70%,6.01%,
Montenegro,116.32,2.60%,EUR,$1.16 ,$1.23 ,,22.20%,14.88%,
Morocco,111.07,0.20%,MAD,$0.99 ,$1.60 ,21.90%,45.80%,9.02%,
Mozambique,182.31,2.80%,MZN,$0.65 ,$0.27 ,0.00%,36.10%,3.24%,
Myanmar,168.18,8.80%,MMK,$0.54 ,$0.39 ,5.40%,31.20%,1.58%,
Namibia,157.97,3.70%,,$0.76 ,,27.10%,20.70%,20.27%,
Nauru,,,AUD,,,,,,
Nepal,188.73,5.60%,NPR,$0.91 ,$0.36 ,20.70%,41.80%,1.41%,
Netherlands,115.91,2.60%,,$1.68 ,$10.29 ,23.00%,41.20%,3.20%,
